image_name,D20,D40,D60,D80,max,lambda,k
1_patch_0_0.jpg,2.976275388,4.22722464,4.316213605,18.12149964,32.27677277,5.314131941,1.920635766
1_patch_204_0.jpg,4.092819898,4.294826355,5.596011788,19.63083204,32.27677277,8.436080475,1.116161522
1_patch_408_0.jpg,3.48793372,4.287234977,5.414105191,11.57806072,21.81451993,6.162611022,1.938169865
1_patch_612_0.jpg,2.990800423,4.311797231,5.686965086,8.350773439,18.23406269,5.847095318,2.069943038
1_patch_816_0.jpg,2.915489921,3.40273065,4.79561938,11.11692125,39.33514239,5.374288493,1.623669293
1_patch_1020_0.jpg,2.92701995,3.134852549,3.654975141,5.590009539,39.33514239,4.17527486,2.587370963
1_patch_1224_0.jpg,2.800290404,3.39268748,4.2677941,4.908170143,10.59114743,4.193391371,2.948897385
1_patch_1428_0.jpg,2.943484257,3.591896182,4.436731448,5.35843656,19.74373366,4.591178446,2.665296719
1_patch_1632_0.jpg,2.672624473,4.1735157,5.173504418,8.521838319,42.10381714,5.687171667,1.704716586
1_patch_1836_0.jpg,2.652990021,3.037139799,4.548357352,6.65424418,42.10381714,4.648582425,1.930888475
1_patch_2040_0.jpg,2.518454593,2.855158205,4.186413207,4.981843103,42.10381714,4.107958365,2.462542688
1_patch_2244_0.jpg,2.696330432,3.429047564,4.622913125,5.704177116,21.49273535,4.627117191,2.412184256
1_patch_2448_0.jpg,3.501048463,4.889879525,5.7419444,9.232782676,21.49273535,5.918414922,2.676229521
1_patch_2652_0.jpg,3.525348437,4.34437379,5.407449367,6.996722583,20.85121357,5.480422116,2.795374973
1_patch_2856_0.jpg,3.52787706,4.255051859,4.975755515,6.116189813,15.64789752,5.190363187,3.393425354
1_patch_3060_0.jpg,3.630347068,4.285044794,4.968822369,5.999456128,30.29724329,5.157060809,3.713848077
1_patch_3264_0.jpg,3.788927045,4.756609604,5.398991975,6.928058392,30.29724329,5.628847341,3.505079888
1_patch_0_204.jpg,2.896173831,4.218198281,4.332616715,13.2874675,46.27627277,5.088398204,2.362046037
1_patch_204_204.jpg,3.057602562,4.243871334,5.991699555,13.64975762,46.27627277,7.109839886,1.387417844
1_patch_408_204.jpg,3.062547456,4.092819898,4.519247964,7.846117094,21.81451993,5.234955858,2.298802412
1_patch_612_204.jpg,3.028810149,4.081707908,5.205852832,6.31237131,18.23406269,5.208688108,2.451914796
1_patch_816_204.jpg,2.990800423,3.5324201,4.981023847,6.750289964,76.48908596,4.941219347,2.289798178
1_patch_1020_204.jpg,2.913488181,3.113520388,3.811404307,17.13239392,76.48908596,4.749670483,1.678300731
1_patch_1224_204.jpg,3.196861748,3.845733934,4.808373033,7.694203938,76.48908596,5.242295098,2.314954664
1_patch_1428_204.jpg,2.985410661,3.694472617,4.683113404,6.969968065,24.39987866,5.342031615,1.955980164
1_patch_1632_204.jpg,2.902150856,3.672869856,4.291551003,6.969968065,19.74373366,4.78495529,2.390840505
1_patch_1836_204.jpg,2.652990021,2.975549031,3.61490861,4.938897851,17.6556187,3.767687277,3.225474285
1_patch_2040_204.jpg,2.488069456,2.866244102,3.305206458,4.330492598,17.6556187,3.615016105,3.345425707
1_patch_2244_204.jpg,2.487557876,2.957559073,3.747510131,5.003187929,44.32347482,3.884592987,2.668976303
1_patch_2448_204.jpg,2.813434335,3.442104769,4.752052369,8.692160248,44.32347482,5.219079005,1.751283079
1_patch_2652_204.jpg,3.24004013,3.609049812,4.405016534,6.876635565,44.32347482,5.066063493,2.317664747
1_patch_2856_204.jpg,2.898858568,3.588707009,4.405016534,5.663294459,15.64789752,4.65023281,2.848179153
1_patch_3060_204.jpg,3.199723028,3.853747007,4.591822028,5.580679354,30.29724329,4.77717849,3.227961501
1_patch_3264_204.jpg,3.201773493,4.36651942,5.112407778,9.42634726,30.29724329,5.729193758,2.13350287
1_patch_0_408.jpg,2.385169457,3.467568114,4.306033665,6.346084937,46.27627277,4.558919203,2.05358103
1_patch_204_408.jpg,3.085038994,4.706842687,6.31237131,9.138478087,46.27627277,6.350786546,2.165104996
1_patch_408_408.jpg,2.963168322,4.464659925,5.657562666,7.741195662,18.23406269,5.780131187,1.974488154
1_patch_612_408.jpg,3.10154084,4.491953945,5.58922972,6.665096053,18.23406269,5.574329006,2.163680725
1_patch_816_408.jpg,4.524520651,5.783710775,7.707131548,18.51729997,76.48908596,9.428925368,1.220277997
1_patch_1020_408.jpg,3.158454026,6.729246942,18.94215589,24.39987866,76.48908596,13.30680414,0.788048447
1_patch_1224_408.jpg,3.169047902,4.158555453,5.472249438,7.371634835,76.48908596,5.652067819,2.123622236
1_patch_1428_408.jpg,2.723474468,3.381650982,4.660547499,6.825535391,24.39987866,5.214934694,1.968008734
1_patch_1632_408.jpg,2.435668025,3.181075911,3.943977531,5.305513522,16.64885128,4.215490595,2.437498864
1_patch_1836_408.jpg,2.358712259,2.94647743,3.677190408,4.942247525,17.6556187,3.935267465,2.619802182
1_patch_2040_408.jpg,2.321270917,2.87821302,3.526133379,4.938897851,17.6556187,3.768126276,2.769604134
1_patch_2244_408.jpg,2.573073748,3.088544445,4.531563588,9.595574081,44.32347482,5.459077057,1.483960853
1_patch_2448_408.jpg,2.702678017,3.595604206,4.688527451,6.129494941,44.32347482,4.950369065,2.279467631
1_patch_2652_408.jpg,3.107168516,3.928245816,5.41027273,7.061889649,44.32347482,5.584218864,2.133431722
1_patch_2856_408.jpg,2.737780277,3.596569553,4.512491934,6.661183189,9.569959271,4.950173117,2.331478062
1_patch_3060_408.jpg,2.812024003,3.695069449,4.535033954,7.364143809,30.29724329,5.114021309,2.090372286
1_patch_3264_408.jpg,2.969664448,4.004252098,5.298690069,9.151151254,30.29724329,5.927388331,1.808356448
1_patch_0_612.jpg,2.571863028,3.493422539,4.640094902,6.617152556,24.81061782,4.801810135,2.021672475
1_patch_204_612.jpg,3.294290487,4.925553781,6.655652795,9.380618508,24.81061782,7.152677589,1.920148352
1_patch_408_612.jpg,3.024103658,4.76152046,6.045901487,9.3153082,15.71468027,6.670702256,1.732134134
